image_id,description
3826,"The garment is a peach-colored lehnga, featuring a golden sequin embroidered design. The lehnda is made to measure, ensuring a perfect fit for the wearer. The choli, or blouse, is also peach in color and complements the lehenda. The dupatta, or scarf, is draped over the shoulder, adding an elegant touch to the overall look. The combination of the peach color and golden sequins creates a beautiful and eye-catching outfit."
5230,"The garment is a blue men's shirt, featuring a fancy blue and white pattern. The shirt has a regular fit and is made of a lightweight fabric, suitable for warm weather. The neckline is a simple round neck, and the sleeve style is a short sleeved design. The length of the shirt is short, providing a casual and comfortable fit. The overall appearance of the garmet is stylish and versatile, making it a great choice for various occasions."
7296,"The garment is a long, orange and green dress with a patterned design. The fabric appears to be a blend of silk and cotton, giving it a luxurious and comfortable feel. The dress features a high neckline and long sleeve, adding a touch of elegance to the overall look. The silhouettes of the dress are flowing and graceful, making it suitable for formal occasions or special events. The neckline is adorned with intricate embroidered details, further enhancing the dress's visual appeal. The length of the garmet is floor-length, providing a sense of sophistication and modesty."
2785,"The garment is a men's navy blue and white solid kurta, featuring a pyjama and a Nehri jacket. The kurta has a classic and elegant silhouettes, with a full-length design that reaches the ankles. The fabric appears to be a blend of cotton and linen, giving it a comfortable and breathable feel. The pattern is a simple solid color, with no embroideries or intricate designs. The neckline is a traditional round neck, while the sleeve style is a full, loose drape that adds to the overall flow of the garments."
2430,"The garment is a long, flowing green dress with a patterned design. The fabric appears to be a cotton blend, giving it a comfortable and breathable feel. The dress features an A-line silhouettes, which adds a touch of elegance and grace to the overall appearance. The neckline is a simple, round neck, allowing the patterned fabric to be the focal point of the dress. The sleeve style is long and loose, further enhancing the flowing nature of the garmet. The length of the gown reaches the floor, making it suitable for formal occasions or special events."
1015,"The garment is a pair of white loose-fit trousers, featuring a solid color and a comfortable, flowing silhouettes. The fabric appears to be lightweight and breathable, making it suitable for warm weather or casual wear. The pants have a relaxed fit, allowing for ease of movement and a flattering appearance. The neckline is high, and the sleeve style is long, providing coverage and a modest look. The length of the pants is ankle-length, and they are embellished with a simple yet elegant design, adding a touch of sophistication to the overall appearance."
2935,"The garment is a white woven design straight kurta, featuring a unique pattern or fabric that gives it a stylish and elegant appearance. The neckline is simple, and the sleeve style is straight, adding to the overall clean and minimalist look. The length of the kurta is long, providing ample coverage and a comfortable fit. The silhouettes of the garments are well-defined, showcasing the design elements and making it an attractive choice for a variety of occasions."
2840,"The garment is a handmade men's cotton kurta, featuring a lavender color. The fabric appears to be lightweight and comfortable, suitable for warm weather. The neckline is a simple, round neck, while the sleeve style is a traditional, loose drape. The length of the kurta extends down to the mid-thigh, providing a modest yet stylish appearance. The overall silhouettes of the garments are well-fitted, with a slim-fit design that accentuates the wearer's figure. The garments have no visible embellishment or pattern, focusing on the clean lines and simple elegance of the cotton fabric."
2082,"The garment is a white color anarkali embroidered salwar suit. The fabric appears to be a delicate and elegant material, possibly silk or chiffon. The embroideries on the dress are intricate and add a touch of sophistication to the overall design. The silhouettes of the dress include a fitted top, a flared bottom, and a long train, creating a graceful and flattering fit. The neckline is a low-cut style, adding a touch more glamour to the ensemble. The sleeve style is long and flowing, complementing the overall silhouetted of the gown."
2595,"The garment is a black and white solid kurta, featuring a classic and elegant design. The fabric appears to be of high quality, with a smooth and comfortable texture. The neckline is a simple and clean cut, while the sleeve style is a traditional, long, and loose drape. The length of the kurta extends down to the mid-thigh, providing a modest yet stylish appearance. The overall silhouettes of the garments are well-fitted, accentuating the wearer's figure. The combination of black and beige colors adds a touch of sophistication and versatility to the outfit."
