image_id,description
3fe668b00f4f6efa967866bdda12a977,"The gown is a floor-length garment with an asymmetrical design. It features a high waist and one shoulder, giving it a unique and stylish appearance. The gown is made of a plastic material, which adds a touch of modernity to its overall look. The color of the gown is a deep shade of purple, which adds a sense of elegance and sophistication to the ensemble. The gown's asymmetrical design and high waist create a visually striking silhouette, making it an eye-catching piece for any occasion."
95931f0df1f902a79ee6c9a67725d00c,"The woman is wearing a green coat with fur trim, which adds a touch of luxury and warmth to her outfit. The coat is a single-breasted zip-up style, providing a modern and stylish look. She is also wearing a pair of black high-heeled shoes, which complement her overall appearance. The woman's outfit is completed with a white lace skirt, adding a delicate and feminine touch to her ensemble. The combination of the green coat, black high-heels, and white lace skirt creates a visually appealing and fashionable look."
fbd8ef2564a18d367d19a7220adf4e62,"The woman is wearing a black leather skirt. The skirt is tight and has a symmetrical design, with a normal waist and no waistline. It is positioned above the hip, giving it a stylish and fashionable appearance. The skirt is paired with a white top, which complements the black leather skirt and adds a touch of contrast to the outfit. The woman is also holding a black purse, which matches the color of her skirt and top, creating a cohesive and visually appealing look."
ef8017a524be660d50c6e9476672fe22,"The image features a pair of black shorts with a white belt. The shorts have a mini length and no opening, giving them a sleek and stylish appearance. The material appears to be a knit or woven fabric, adding a touch of texture to the overall look. The shorts are displayed against a white background, allowing the viewer to focus on their design and details."
71e9b0adb502858db1770a0307f300a5,"The man is wearing a gray blazer, which is a type of jacket. The blazer has a symmetrical design, with a straight and regular fit. It is a single-breasted jacket with a welt pocket on the front. The blazer has a notched lapel, adding a touch of sophistication to its appearance. The man is also wearing a shirt, which is tucked into his pants, creating a polished and professional look. The shirt has a wrist-length sleeve, and the man is wearing a tie, which complements the overall style of the outfit."
aa1aa44a24d58eb28697a0a6e6f57ada,"The woman is wearing a pink tank top with a symmetrical design. The tank top is tight, which accentuates her figure. She is also wearing blue jeans, which are a casual and comfortable choice. The jeans are low-waisted, giving her a stylish and modern look. The woman is posing confidently, showcasing her outfit and the overall silhouette of the tank top and jeans."
11490015dddafdf797fc5d4b235b6589,"The clothing item is a black dress with a fur vest. The dress is a pencil style, which means it has a slim fit and a straight silhouette. The fur vest adds a touch of luxury and warmth to the outfit. The dress is above-the-hip, which means it sits above the waistline, and it is a mini dress, which means it is shorter than a midi or maxi dress. The overall appearance of the dress is elegant and stylish, making it suitable for formal or semi-formal occasions."
cd77f5f89e6cc2bdba1b919b7168c7a0,"The woman is wearing a black jacket with a floral pattern. The jacket is hip-length and has a set-in sleeve. The neckline is wrist-length, and the overall silhouette is symmetrical."
f3b27e62aaebd85fa4b7b11525b990ae,"The person is wearing a black hoodie. The hoodie is loose and has a symmetrical design. It has a normal waist and no waistline, and the hip is also visible. The sleeves are set-in, and the hoodie has a wrist-length. The neckline is high, and the overall silhouette is casual."
230e718c00ec712fd19bb24ebb89dde9,"The clothing item is a blue dress with a high waist. It features a lace-up detail on the front, adding a unique touch to the design. The dress is made of a lightweight, flowing material, giving it a graceful and elegant appearance. The neckline is low, enhancing the overall style of the dress. The sleeves are long, extending down to the mid-forearm, and the dress has a fitted silhouette, accentuating the high waist."
0000fe7c9191fba733c8a69cfaf962b7,"The clothing item is a tan-colored, above-the-hip, scoop-necked top. It has a symmetrical design and no waistline, giving it a classic appearance. The material appears to be lightweight and comfortable, suitable for casual wear. The top is hanging on a wooden hanger, which is attached to a wall."
a0ca0a0feaa1a5d6f197fb239fd2de5c,"The clothing item is a pink dress with a ruffled design. It is a short dress that reaches above the knee, giving it a casual and feminine appearance. The dress has a no-waistline design, which adds to its modern and stylish look. The color of the dress is a soft pink, which complements the ruffled pattern and adds a touch of elegance to the overall appearance."
cf72fa16ddf35fe92e2d72e47d464114,"The clothing item is a gray zip-up sweater, featuring a set-in sleeve design. The sweater is tight and has a round neckline, giving it a classic and symmetrical appearance. The material appears to be a soft, comfortable fabric, suitable for casual wear. The sweater is designed to be worn above the hip, with no waistline, and has a slash on the front, adding a touch of style to the overall silhouette."
6b2a51aa8fef7e64eded600350305fed,"The gown is a floor-length, asymmetrical dress with a high waist. It features a one-shoulder design and a zip-up front. The dress is made of a light-colored material, possibly silk or satin, and has a floral pattern on it. The overall silhouette of the dress is elegant and sophisticated, making it suitable for formal occasions or special events."
f6cd38308091915bb0d53e11e1d06509,"The clothing item is a blue sweater with white polka dots. It is a long-sleeved, above-the-hip, wrist-length garment with a round neckline. The sweater is made of a soft, comfortable material, and it has a casual style. The woman is wearing blue jeans, which complement the blue sweater. The overall silhouette of the outfit is symmetrical and regular, with no waistline."
89465b71117f269eda1a997b265ec2eb,"The woman is wearing a white sweater, which is loose and has a wrist-length sleeve. She is also wearing a red skirt, which is mini and hip. The skirt is made of leather material, giving it a sleek and stylish appearance. The woman is holding a brown purse, which complements her outfit."
9a78a831475886174e1f9862f6c3f4d3,"The clothing item is a brown dress with a striped orange and white belt. The dress has a symmetrical design, featuring a straight and normal waist. The sleeves are set-in, and the dress has a wrist-length hemline. The overall silhouette of the dress is above-the-hip, giving it a casual and comfortable appearance. The combination of the brown color and the striped belt adds a touch of style and visual interest to the dress."
ba0df244a7748c1881acfd0c755cd583,"The woman is wearing a black shirt. The shirt is tight and has a symmetrical design. It features a set-in sleeve and a curved neckline. The shirt is made of a classic material, and its overall silhouette is above-the-hip."
88cb6ff0a88dc1f6be1759de3e425135,"The image features a man wearing a blue hoodie with a zipper. The hoodie is a tight-fitting, regular-length garment that covers the man's body from the neck to the waist. The hoodie has a symmetrical design, and the man's wrists are visible, indicating that the sleeves are wrist-length. The man is wearing blue jeans, which are a common and popular choice of pants. The overall silhouette of the man is casual and comfortable, with the hoodie and jeans providing a relaxed and stylish appearance."
0040e5863c5e6197cd264509bc2fbb1c,"The man is wearing a gray blazer, which is a type of jacket. The blazer has a symmetrical design, and it is made of a regular fabric. The blazer has a normal waist and is above-the-hip in length. The sleeves are wrist-length, and the blazer features a single-breasted design with a fly. The blazer is paired with a shirt, which has a notched collar and set-in sleeves. The overall silhouette of the outfit is formal, and the man appears to be well-dressed for the occasion."
3e50fbf7274d674517b8a994c956f265,"The clothing item is a yellow dress with a high waist and an above-the-knee length. It features a symmetrical design and a zip-up front. The dress is made of a shiny material, giving it a glossy appearance. The neckline is a deep V-shape, and the sleeves are short, adding to the overall stylish and modern look of the dress. The woman is standing in front of a white chair, which contrasts with the vibrant color of the dress."
029720c77ebda81f6a57efd7a34df406,"The clothing item is a black dress with a high waist. It is a mini dress, which means it is short and reaches above the hip. The dress has a symmetrical design, and it is made of a tight material. The neckline is low, and the overall silhouette of the dress is elegant and stylish."
129b0fbb269241761991cf342f37d4ef,"The woman is wearing a pink shirt and blue shorts. The shirt is short-sleeved and has a low neckline, while the shorts are denim and have a low waist. The shorts are also slightly above the hip, giving them a mini length. The overall silhouette of the outfit is casual and summery, with the pink shirt adding a pop of color to the ensemble."
c010f298b8388c6cc48a9e76f2807b3c,"The clothing item is a blue and white striped tank top, paired with red, white, and blue shorts. The tank top has a tight fit and a micro design, while the shorts have a low waist and an above-the-hip style. The neckline is u-neck, and the sleeves are short, adding to the overall casual and sporty appearance of the outfit. The woman is wearing blue shoes, which complement the blue and white striped tank top."
e5def25bb3ef74d338bfe3738869cc9f,"The clothing item is a pink dress with a high waist and a fly. It has a symmetrical design and is made of a flowing material, giving it a maxi appearance. The dress features a zip-up front, adding a modern touch to its classic style. The color of the dress is a soft pink, which complements the overall silhouette of the garment. The neckline is simple, and the sleeves are long, adding to the elegant and feminine look of the dress."
0f8eeeccfbe5608926930b1c2ec289af,"The clothing item is a white shirt with a black vest. The shirt is tight and has a symmetrical design, while the vest is loose and worn above the hip. The shirt has a fly and no opening, and the overall silhouette is casual. The woman is wearing sandals, which complement the outdoor setting and her adventurous spirit."
b6fd0f1afe811a6d95b0e0e6726217f2,"The clothing item is a pink shirt, which is a classic and symmetrical garment. It has a straight and regular fit, with a normal waist and no waistline. The shirt features a hip length and wrist-length sleeves, and the neckline is set-in. The overall silhouette of the shirt is casual, and it is paired with black pants. The man is wearing a watch on his wrist, adding a touch of elegance to his outfit."
64c18574f060cd9aeefe801fb84591c7,"The clothing item is a pair of leggings that are tight and symmetrical. They are made of a regular material and have a normal waist, sitting above the hip. The leggings are paired with a black shirt that has a set-in sleeve and a fly, giving it a casual style. The woman is wearing black boots that complement the outfit, and she is walking down a runway."
54fda4802b2fcfeb5e3fdd61227a2499,"The clothing item is a yellow cardigan with a white collar. It has a symmetrical design and is made of a knitted material. The cardigan is tight-fitting and has a normal waist, with the sleeves set in. The neckline is above-the-hip, and the cardigan is single-breasted with a fly. The overall silhouette of the cardigan is casual and comfortable, making it a versatile piece of clothing."
